stt,file_path,duration,lastest_used_value
1,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\100 - V188.mp4,3:38,23851765
2,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\101 - V190.mp4,3:37,23851764
3,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\102 - V192 - banana cutting.mp4,3:41,23851758
4,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\103 -V180 - heart cutting.mp4,3:57,23851635
5,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\104 - v182 - lipstick cutting.mp4,3:07,23851575
6,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\105 - v194.mp4,4:57,23851543
7,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\106 - v196 sua lai.mp4,3:17,23851536
8,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\107 - v198.mp4,6:10,23851496
9,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\108 - v200.mp4,5:18,23851505
10,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\109 - v202.mp4,3:27,23851393
11,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\110 - v204.mp4,3:57,23851342
12,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\111 - v206.mp4,3:44,23851349
13,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\112 - v208.mp4,3:08,23851345
14,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\113 - v210.mp4,3:07,23851332
15,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\114 - v212 - lipstick cutting.mp4,2:57,23851333
16,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\115 - v214.mp4,5:05,23851201
17,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\116 - v216.mp4,3:53,23851174
18,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\117 - v218.mp4,5:54,23851138
19,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\118 - v220.mp4,5:00,23851145
20,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\119 - v222.mp4,5:03,23851131
21,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\120 - v224.mp4,5:07,23851115
22,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\121 - v226.mp4,3:11,23851040
23,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\122 - v228.mp4,4:25,23851012
24,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\123 - V230 -b banana cutting.mp4,3:43,23850974
25,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\124 - V232 - rainbow m&M  cutting.mp4,3:55,23850987
26,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\125 - V234.mp4,2:50,23850982
27,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\126 - V236.mp4,3:16,23850971
28,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\127 - V240.mp4,3:04,23850863
29,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\128 - V244.mp4,5:03,23850835
30,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\129 - v246.mp4,5:00,23850817
31,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\130 - v248 - duck cutting.mp4,3:39,23850811
32,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\131 - v250 - eye milk cutting.mp4,3:50,23850792
33,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\132 - v252.mp4,4:11,23850799
34,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\133 - v254.mp4,3:20,23850691
35,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\134 - v256.mp4,3:44,23850678
36,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\135 - v258.mp4,2:55,23850671
37,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\136 - V260.mp4,5:52,23850634
38,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\137 - v266.mp4,4:55,23850632
39,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\138 - V270.mp4,5:21,23850625
40,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\139 - V272.mp4,6:41,23850533
41,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\140 - V274.mp4,5:13,23850518
42,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\141 - v278 - foot.mp4,4:08,23850514
43,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\142 - V280 - fish.mp4,3:19,24971831
44,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\143 - V282.mp4,3:00,24971621
45,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\144 - V284 - pencil.mp4,3:11,24803798
46,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\145 - V286.mp4,3:43,24803658
47,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\146 - V288 -  baby shark fork.mp4,3:49,24799848
48,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\147 - V290 - banana.mp4,3:27,24802044
49,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\148 - V292.mp4,5:54,24801728
50,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\149 - V294.mp4,2:33,24800320
51,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\150 - v296.mp4,5:19,24776223
52,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\151 - v298.mp4,5:03,24775864
53,\\hai2\Video gốc\Khay đen\k1 - Satisfying ASMR\152 - V302.mp4,5:00,23742191
