channel_name,video_title,published_at,view_count,like_count
Moe Đi Đâu,"SINH VIÊN ĐI THỰC TẬP: CHUẨN BỊ GÌ? | CÁCH TÌM VIỆC, CHUẨN BỊ PHỎNG VẤN, SẮP XẾP THỜI GIAN, CV?",2021-04-26 21:02:34,157985,9116
Moe Đi Đâu,BẠN CÓ ĐANG HIỂU SAI VỀ NGÀNH KINH TẾ? | TIPS HỌC GIỎI KINH TẾ-TÀI CHÍNH | TRẢ LỜI GIẢ ĐỊNH KINH TẾ,2021-02-27 21:00:17,356032,18182
Moe Đi Đâu,3 SAI LẦM KHIẾN KẾ HOẠCH CỦA BẠN THẤT BẠI | Cách Moe lên kế hoạch để cân bằng cuộc sống,2020-12-09 21:00:46,222102,13049
Moe Đi Đâu,MÌNH ĐÃ CHỌN NGÀNH HỌC NHƯ THẾ NÀO? | 2 điều duy nhất bạn cần làm để định hướng nghề | MOE ĐI ĐÂU,2020-11-04 21:00:13,1234055,67743
Moe Đi Đâu,4 SAI LẦM CỦA SINH VIÊN NĂM NHẤT - Tân sinh viên nên biết gì? làm gì? không nên làm gì? - MOE ĐI ĐÂU,2020-10-24 21:00:11,440421,26742
Moe Đi Đâu,VÌ SAO HỌC PHÍ RMIT ĐẮT THẾ? | TẠI SAO CÓ NGƯỜI SẴN SÀNG TRẢ 900 TRIỆU CHO ĐẠI HỌC? | MOE ĐI ĐÂU,2020-08-15 21:00:12,502568,19073
Moe Đi Đâu,KINH DOANH QUỐC TẾ LÀ GÌ? KHÓ KHÔNG? BẠN CÓ NÊN HỌC KINH DOANH QUỐC TẾ TẠI RMIT? | Moe Đi Đâu,2020-07-17 21:00:12,335725,13888
Chim Vặn Dây Cót,Hướng dẫn chơi Dark souls 3 Việt hóa mới nhất 2025 - Tập 2,2025-07-09 05:40:47,5384,183
Chim Vặn Dây Cót,Hướng dẫn cài Việt hóa cho Dark souls 3,2025-06-08 20:50:45,2475,86
Chim Vặn Dây Cót,Hướng dẫn chơi Dark souls 3 Việt hóa mới nhất 2025 - Tập 1,2025-06-01 14:39:49,23778,552
Chim Vặn Dây Cót,Giáo trình chơi Elden Ring mới nhất 2025 - Tập 8 : Hoàn thành DLC,2025-03-17 14:38:55,14567,272
Chim Vặn Dây Cót,Giáo trình chơi Elden Ring mới nhất 2025 - Tập 7 : Khám phá DLC,2025-02-22 12:22:00,18019,252
Chim Vặn Dây Cót,"Giáo trình chơi Elden Ring mới nhất 2025 - Tập 6 : Bon chen đủ rồi, đi làm lord thôi",2025-01-29 21:08:56,21358,283
Chim Vặn Dây Cót,Giáo trình chơi Elden Ring mới nhất 2025 - Tập 5 : Thá Nịt long tong,2025-01-14 14:13:32,20243,240
Chim Vặn Dây Cót,Giáo trình chơi Elden Ring mới nhất 2024 - Tập 4 : Vượt ngàn chông gai cầu hôn Ranni,2024-12-30 13:52:55,21714,267
Chim Vặn Dây Cót,Giáo trình chơi Elden Ring mới nhất 2024 - Tập 3 : Thá nịt ve chai,2024-12-16 15:09:07,29138,345
Chim Vặn Dây Cót,Giáo trình chơi Elden Ring mới nhất 2024 - Tập 2 : Một vài mẹo săn Boss,2024-11-21 07:49:35,36486,386
Chim Vặn Dây Cót,Giáo trình chơi Elden Ring mới nhất 2024 - Tập 1 : Khám phá Trung Địa,2024-11-21 07:49:05,72629,1150
Chim Vặn Dây Cót,Elden Ring DLC - #8 : Cuối cùng cũng xơi hết cái rổ hành này,2024-09-05 15:40:04,7055,190
Chim Vặn Dây Cót,"Elden Ring DLC - #7 : Cuối tuần rồi, lại ăn hành thôi...!!!",2024-08-12 17:01:02,4892,149
Chim Vặn Dây Cót,Elden Ring DLC - #6 : Hành này tươi lắm các bác ơi... Mại zô...!!!,2024-08-06 06:20:32,5641,169
Chim Vặn Dây Cót,Elden Ring DLC - #5 : Lâu lắm mới lại được ăn hành,2024-08-02 15:18:02,6240,203
Chim Vặn Dây Cót,Elden Ring DLC - #4 : Hành cũng cay nhưng hơi ít,2024-07-15 12:36:32,6989,203
Chim Vặn Dây Cót,Elden Ring DLC - #3 : Xin lỗi...! Hành hôm nay hơi nhạt,2024-07-08 15:29:43,8181,267
Chim Vặn Dây Cót,Elden Ring DLC - #2 : Xem Thá Nịt Chim ăn hành tiếp đê...Mại zô...!!!,2024-07-04 22:08:24,11797,399
Chim Vặn Dây Cót,Hướng dẫn chơi Dark Souls Remastered - Việt hóa #3,2024-07-01 15:41:51,9586,198
Chim Vặn Dây Cót,Elden Ring DLC - #1 : Xem Thá Nịt Chim ăn hành đê...Mại zô...!!!,2024-06-24 16:16:04,18494,647
Chim Vặn Dây Cót,Hướng dẫn chơi Dark Souls Remastered - Việt hóa #2,2024-05-24 22:42:49,18466,244
Chim Vặn Dây Cót,Hướng dẫn chơi Dark Souls Remastered - Việt hóa #1 (Link VH dưới phần bình luận),2024-05-02 15:29:59,44396,652
Chim Vặn Dây Cót,Hướng dẫn chơi Lies of P Việt hóa #2,2024-04-15 22:49:01,14027,192
Chim Vặn Dây Cót,Hướng dẫn chơi Lies of P Việt hóa #1,2024-03-24 20:07:55,29453,433
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #32 : Quét dọn Caelid + Liurnia of the Lakes,2024-01-07 15:58:19,3901,104
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #31 : Quét dọn Limgrave + Weeping Peninsula,2023-10-05 19:21:28,2823,75
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #30 : Sưu tập Spirit Ashes huyền thoại ( 6 cái ),2023-10-01 10:00:46,5393,96
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #29 : Sưu tập Spells huyền thoại ( 7 cái ),2023-09-24 09:47:41,5909,95
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #28 : Sưu tập Talisman huyền thoại ( 8 cái ),2023-09-20 01:54:00,4975,86
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #27 : Sưu tập vũ khí huyền thoại ( 9 món ),2023-09-18 21:42:19,6785,131
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #26 : Sưu tập Larval tear ( 18 cái ) + Imbued sword key (2 cái ),2023-09-15 07:35:11,2483,55
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #25 : Đi ngắm tranh ( 7 bức tranh ),2023-09-10 05:30:52,2415,61
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #24 : Sưu tập Crystal Tears ( 32 viên ),2023-09-06 08:21:11,2942,62
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #23 : Xử nốt mấy con boss khó,2023-09-04 02:27:35,6819,108
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #22 : Làm gỏi đám rồng,2023-08-26 07:18:57,4118,84
Chim Vặn Dây Cót,Hướng dẫn chơi Elden Ring #21 : Ngáng giò mấy thằng 6 chân,2023-08-22 03:00:20,3787,79
